player,wins,losses,percentage
Roger Federer,27,23,0.54
Rafael Nadal,29,28,0.50877193
Andy Murray,25,11,0.694444444
Stan Wawrinka,19,6,0.76
Del Potro,16,4,0.8
Marin Cilic,17,2,0.894736842
