Distance,Nadal,Djokovic,Federer
0,0.75,0.75,0.75
1,0.8,0.78,0.77
2,0.95,0.85,0.8
3,1.15,1,0.9
4,1.35,1.15,1.05
5,1.55,1.3,1.2
6,1.7,1.37,1.25
7,1.87,1.5,1.35
8,2,1.57,1.4
9,2.1,1.67,1.45
10,2.22,1.75,1.55
11,2.3,1.78,1.58
12,2.31,1.79,1.6
