,0,1,2,3,4,5,6,7,8,9,10,11,12
Nadal (Heavy Topspin),0.75,0.8,0.95,1.15,1.35,1.55,1.7,1.87,2,2.1,2.22,2.3,2.31
Djokovic/ Average,0.75,0.78,0.85,1,1.15,1.3,1.37,1.5,1.57,1.67,1.75,1.78,1.79
Federer (Flat Forehand),0.75,0.77,0.8,0.9,1.05,1.2,1.25,1.35,1.4,1.45,1.55,1.58,1.6
