Player ,Grand Slam Finals,Grand Slam SemiFinals,Grand Slam Quarters,Total
Federer,31,46,58,135
Djokovic,31,42,51,124
Nadal,28,35,44,107
Jimmy Conners,0,31,0,0
Ivan Lendl,0,28,0,0
Andre Agassi,0,26,0,0
Pete Sampras,0,23,0,0
Andy Murray,0,21,0,0
